topic_id,adu_id,type,text
health_insurance_cover_complementary_medicine,a5,premise,and who would want to question their broad expertise?
public_broadcasting_fees_on_demand,a1,claim,"Actually only those people should pay a TV & radio licence fee who really watch ARD, ZDF, Arte etc."
public_broadcasting_fees_on_demand,a2,objection,It is in fact good to support sophisticated programming through fees.
public_broadcasting_fees_on_demand,a3,premise,"Curiously, however, there are still adverts and product placements on the public channels."
public_broadcasting_fees_on_demand,a4,premise,"What are you paying for, then? That the same actors time and again get to have a laugh at exotic shooting locations?"
public_broadcasting_fees_on_demand,a5,premise,Also the scripts are often copied off each other.
allow_shops_to_open_on_holidays_and_sundays,a1,claim,"Well, I as an employee find it very practical to be able to shop at least on weekends."
allow_shops_to_open_on_holidays_and_sundays,a2,objection,"Sure, other people have to work in the shops on the weekend,"
allow_shops_to_open_on_holidays_and_sundays,a3,objection,but they can have days off during the week and run errands at their leisure while I'm stuck in the office.
allow_shops_to_open_on_holidays_and_sundays,a4,premise,"Plus, the state wants me to spend my money,"
allow_shops_to_open_on_holidays_and_sundays,a5,premise,and how am I supposed to do that when the shops aren't open when I'm off work?
increase_weight_of_BA_thesis_in_final_grade,a1,premise,The idea of the bachelor degree is to put together a cumulative grade from various individual assignments in order to generate a final grade.
increase_weight_of_BA_thesis_in_final_grade,a2,premise,"This is also more akin to the real working world later, where performance isn't singular, but constant and has to be delivered over longer periods."
increase_weight_of_BA_thesis_in_final_grade,a3,objection,That's why it makes sense that the bachelor thesis only makes up a relatively small portion of the final grade (15 out of 120 credits).
increase_weight_of_BA_thesis_in_final_grade,a4,objection,"However, the effort required for the individual equally weighted modules differs strongly."
increase_weight_of_BA_thesis_in_final_grade,a5,claim,It would therefore be wise to adjust the required effort for final theses accordingly.
cap_rent_increases,a1,claim,Rent prices should be limited by a cap when there's a change of tenant.
cap_rent_increases,a2,objection,"Landlords may want to earn as much as possible,"
cap_rent_increases,a3,objection,"and many, consistent with market principles, are prepared to pay higher rents,"
cap_rent_increases,a4,premise,but that people with the same income suddenly must pay more and can't live in the same flat anymore seems implausible.
cap_rent_increases,a5,premise,Gentrification destroys entire districts and their culture.
health_insurance_cover_complementary_medicine,a1,objection,The choice of an attending physician is at the discretion of the patient.
health_insurance_cover_complementary_medicine,a2,premise,Yet the funds of the health insurance companies are a common benefit for all premium payers.
health_insurance_cover_complementary_medicine,a3,premise,They should not be spent on personal preferences without proven use.
health_insurance_cover_complementary_medicine,a4,premise,The effectiveness of many natural remedies has not been demonstrated.
health_insurance_cover_complementary_medicine,a5,claim,Therefore no unproven and unrecognized treatments by naturopaths should be reimbursed by the insurance companies.
buy_tax_evader_data_from_dubious_sources,a1,premise,It is desirable that no one channels his or her wealth past the tax authorities.
buy_tax_evader_data_from_dubious_sources,a2,objection,Those who do or try to should be held accountable if at all possible.
buy_tax_evader_data_from_dubious_sources,a3,premise,"Having said that, state funds are often wasted on nonsensical investments,"
buy_tax_evader_data_from_dubious_sources,a4,premise,so that this ideal appears unworthy of support in many ways.
buy_tax_evader_data_from_dubious_sources,a5,premise,"Besides, the trading of information is obviously driven by greed of gain."
buy_tax_evader_data_from_dubious_sources,a6,claim,Tax data that are not made available for free should therefore not be acquired by the state.
make_video_games_olympic,a1,premise,Olympic events are rooted in old traditions.
make_video_games_olympic,a2,objection,"On the other hand, the events have a culturally determined character."
make_video_games_olympic,a3,premise,Our society is strongly digitized and influenced by computers.
make_video_games_olympic,a4,premise,Yet sports are usually associated with physical training.
make_video_games_olympic,a5,premise,"Since however skat, chess etc. are not accepted as Olympic events,"
make_video_games_olympic,a6,claim,computer games should also not be recognized as Olympic events.
charge_tuition_fees,a1,claim,Tuition fees should not be charged in Germany.
charge_tuition_fees,a2,premise,Studying and taking higher degrees must remain a basic right for everyone.
charge_tuition_fees,a3,premise,Fees result in longer durations of studies.
charge_tuition_fees,a4,premise,That's costly!
keep_retirement_at_63,a1,claim,"No, the retirement age should be raised to 65 again."
keep_retirement_at_63,a2,objection,"People are getting older on average,"
keep_retirement_at_63,a3,premise,but they are not sicker and not duller because of it.
keep_retirement_at_63,a4,premise,Without them we'd forgo a great deal of collected experience.
keep_retirement_at_63,a5,premise,And we'd have to offer more leisure activities for seniors.
introduce_capital_punishment,a1,premise,No human being or human committee should again be given the permission to rule over 'life or death'.
introduce_capital_punishment,a2,premise,Courts are also subject to human error.
introduce_capital_punishment,a3,claim,That's why Germany should not introduce capital punishment!
introduce_capital_punishment,a4,premise,"Every human, even those who have committed a despicable crime, can bring themselves to regret and change their opinion."
introduce_capital_punishment,a5,premise,A door must remain open for making amends.
cap_rent_increases,a1,claim,A stop must be put to exorbitant rents by imposing a limit on rent increases when changing residences.
cap_rent_increases,a2,premise,For affordable living space is scarce.
cap_rent_increases,a3,premise,"Besides, a higher degree of luxury (expensive flats) is not necessary for the majority of the people, but rather a flat at all."
cap_rent_increases,a4,premise,"Plus everyone has to move approx. 3-10 times in his or her life,"
cap_rent_increases,a5,premise,because the size of the desired accommodation changes over the course of a lifetime.
health_insurance_cover_complementary_medicine,a1,premise,"From time immemorial humans have had complementary medicine,"
health_insurance_cover_complementary_medicine,a2,premise,and it has not generally been ineffective.
health_insurance_cover_complementary_medicine,a3,claim,A reduction in the amount of chemically produced medication per person is most certainly desirable.
health_insurance_cover_complementary_medicine,a4,premise,"This will do little damage to the pharmaceutical industry,"
health_insurance_cover_complementary_medicine,a5,premise,and conventional medicine will also hardly suffer.
health_insurance_cover_complementary_medicine,a6,premise,The patient could learn to be more aware of his or her body and to treat it more healthily.
health_insurance_cover_complementary_medicine,a1,claim,The statutory health insurance companies should also cover treatments with non-medical and alternative practitioners.
health_insurance_cover_complementary_medicine,a2,objection,Their treatment methods and successes are not amply researched or proven.
health_insurance_cover_complementary_medicine,a3,objection,"Yet many patients subjectively experience relief or are cured of their complaints,"
health_insurance_cover_complementary_medicine,a4,premise,which ultimately also saves costs for conventional treatments and medication.
health_insurance_cover_complementary_medicine,a5,premise,"Also conventional medicine is in many cases not successful,"
health_insurance_cover_complementary_medicine,a6,premise,"and, moreover, entails significant risks and side effects."
introduce_capital_punishment,a1,claim,The death penalty should be abandoned everywhere.
introduce_capital_punishment,a2,premise,From a Christian and humanistic perspective it is not allowed to kill someone.
introduce_capital_punishment,a3,objection,Proponents of the death penalty count on its deterring effect as well as the ultimate elimination of any potential threat.
introduce_capital_punishment,a4,objection,However also the threat of the death penalty in the respective countries apparently cannot prevent murder and violent crime.
introduce_capital_punishment,a5,premise,Moreover it turns out time and again that innocent people are also convicted and executed.
charge_tuition_fees,a1,claim,The universities in Germany should not under any circumstances charge tuition fees.
charge_tuition_fees,a2,premise,This would impede or prevent access to those who are financially weaker.
charge_tuition_fees,a3,premise,The anticipated objectives of tuition fees can be achieved by other means.
charge_tuition_fees,a4,premise,There are other instruments to motivate tighter discipline while studying.
charge_tuition_fees,a5,premise,And funding-wise it ought to be considered how costs incurred by students from other (federal) states can be reimbursed.
public_broadcasting_fees_on_demand,a1,claim,The TV/radio licence fee can only be required of all citizens/households equally.
public_broadcasting_fees_on_demand,a2,objection,Critics point out that they are not using what's on offer by public broadcasting.
public_broadcasting_fees_on_demand,a3,objection,I do doubt that there is anyone who has never at least indirectly watched the programming of the public broadcasters.
public_broadcasting_fees_on_demand,a4,objection,"However, it is impossible to monitor this and collect more customized fees."
public_broadcasting_fees_on_demand,a5,premise,"Just as with other choices in culture or infrastructure, public broadcasters are also to be financed, regardless of whether individuals make use of their programming or not."
school_uniforms,a1,claim,School uniforms should not be worn in our schools.
school_uniforms,a2,objection,They do offer the benefit that the competition over brand-name clothes and the discrimination of the socially weak are prevented.
school_uniforms,a3,objection,Nevertheless hardly anyone wishes to dress themselves or their children in a standard uniform.
school_uniforms,a4,premise,Plus such uniforms also stand for ideological conformity and for the suppression of individual self-development.
introduce_capital_punishment,a1,claim,"One should not re-introduce capital punishment in Germany,"
introduce_capital_punishment,a2,premise,since no one can claim the right to rule over the life or death of another human being.
introduce_capital_punishment,a3,premise,Capital punishment will not deter anyone else from an atrocity.
introduce_capital_punishment,a4,premise,Everyone must be given the chance to hone their conscience and possibly make amends for their deed.
higher_dog_poo_fines,a1,claim,There should be a higher fine for dog dirt on the pavement.
higher_dog_poo_fines,a2,premise,Dog dirt is disgusting and a hygiene problem.
higher_dog_poo_fines,a3,premise,"Also children, adults and other animals aren't allowed to leave droppings on the pavement."
higher_dog_poo_fines,a4,premise,"If you dispose of the waste then and there yourself, no fine is necessary."
partial_housing_development_at_Tempelhofer_Feld,a1,claim,"I find the peripheral housing development at Tempelhofer Feld right for urban planning reasons,"
partial_housing_development_at_Tempelhofer_Feld,a2,premise,as the area is right in the middle of the city (capital).
partial_housing_development_at_Tempelhofer_Feld,a3,premise,The size of the field allows for both housing and generous open space.
charge_tuition_fees,a1,claim,Tuition fees should not generally be charged by universities.
charge_tuition_fees,a2,premise,"Universities are for all citizens, independent of their finances."
charge_tuition_fees,a3,premise,"Education and training are fundamental rights which the state, the society must provide."
charge_tuition_fees,a4,premise,"If a university lacks the funds, sponsors must be found."
charge_tuition_fees,a5,objection,Unfortunately this can lead to disagreeable dependencies in some cases.
health_insurance_cover_complementary_medicine,a1,premise,Complementary medicine includes treatments with proven health benefits in many areas
health_insurance_cover_complementary_medicine,a2,premise,"which are often less costly than medication from conventional medicine, which are also paid for after all."
health_insurance_cover_complementary_medicine,a3,premise,Often natural treatments do not put as much of a strain on the patient.
health_insurance_cover_complementary_medicine,a4,premise,Such therapies can frequently result in an improvement in the condition through the active participation of the patient.
health_insurance_cover_complementary_medicine,a5,claim,The health insurance companies ought to be enabled to recognize a doctor's decision for natural treatment and also to cover it.
make_video_games_olympic,a1,claim,Video games ought to be included in the ranks of Olympic events.
make_video_games_olympic,a2,premise,The performance often required by players is considerable and by all means comparable to physical efforts.
make_video_games_olympic,a3,premise,"Various skills are promoted and required by different games,"
make_video_games_olympic,a4,claim,"including planning abilities, reaction time, and reasoning to name but a few."
make_video_games_olympic,a5,objection,"Considering their requirements, some video games are not relevant as sports,"
make_video_games_olympic,a6,objection,but this issue should be solvable through a clearly structured preselection process.
over_the_counter_morning_after_pill,a1,claim,The morning-after pill ought to be available over-the-counter in pharmacies.
over_the_counter_morning_after_pill,a2,premise,Even with state-of-the-art contraceptives there can be mistakes and problems
over_the_counter_morning_after_pill,a3,premise,and an unwanted pregnancy can place a significant strain on both the parents and the child for the rest of their lives.
over_the_counter_morning_after_pill,a4,objection,"Some worry about careless use of such measures,"
over_the_counter_morning_after_pill,a5,objection,but this problem should rather be addressed with comprehensive prior education.
school_uniforms,a1,claim,School uniforms should be introduced in our schools again.
school_uniforms,a2,premise,"This provides an at least superficial equalization in our heavily economically oriented society,"
school_uniforms,a3,premise,which may reduce discrimination of financially and/or socially disadvantaged children.
school_uniforms,a4,premise,"Furthermore, it would facilitate the finding of truants, who may wish to get away with fewer classes at school."
school_uniforms,a5,objection,Uniforms always and immediately provoke fear of losing one's individuality
school_uniforms,a6,objection,"but what's really lacking in schools today is rather a real sense of community, which would possibly be strengthened by an equal, collective appearance."
EU_influence_on_political_events_in_Ukraine,a1,claim,The EU should exert influence on the political events in Ukraine.
EU_influence_on_political_events_in_Ukraine,a2,premise,"The developments in that conflict should not be left to former Cold War opponents alone,"
EU_influence_on_political_events_in_Ukraine,a3,premise,for that course can only lead to escalation in some form.
EU_influence_on_political_events_in_Ukraine,a4,premise,"Furthermore, Ukraine is culturally and geographically much closer than other countries that the EU (used to) get involved with."
EU_influence_on_political_events_in_Ukraine,a5,objection,"Indeed one could argue that a country has to deal with internal political changes itself,"
EU_influence_on_political_events_in_Ukraine,a6,objection,"but political power also brings about political responsibility, in this case the responsibility to protect the Ukrainian people from the rather strong interests of the two Great Powers."
higher_dog_poo_fines,a1,claim,There should be much higher fines for dog dirt left on pavements.
higher_dog_poo_fines,a2,premise,Stepping in dog dirt is gross and absolutely ruins your day
higher_dog_poo_fines,a3,premise,"due to the dirt, the stench and the often considerable effort to get rid of it."
higher_dog_poo_fines,a4,premise,"Besides, the fines for public urination by a human are higher than for leaving behind dog dirt on the pavement, which is disproportionate."
higher_dog_poo_fines,a5,objection,"Some dog owners assume that paying a dog licence fee covers the removal of such waste,"
higher_dog_poo_fines,a6,objection,but according to this logic one could hardly make the taxpayer accountable for almost any offense.
stricter_regulation_of_intelligence_services,a1,claim,Secret services must be more tightly regulated in order to prevent excessive surveillance.
stricter_regulation_of_intelligence_services,a2,premise,"After all, secret services tend to develop a life of their own (a state within a state), which would be irresponsible for democratic states."
stricter_regulation_of_intelligence_services,a3,premise,"Besides, intelligence services intervene massively in the privacy of citizens"
stricter_regulation_of_intelligence_services,a4,premise,and must therefore be monitored more closely to prevent abuse.
stricter_regulation_of_intelligence_services,a5,objection,Parliamentary control however hampers the work of intelligence services
stricter_regulation_of_intelligence_services,a6,premise,for it jeopardizes the secrecy and security of confidential data and informants.
over_the_counter_morning_after_pill,a1,objection,The state ought not to restrict medical products or medical treatments for moral reasons as long as they don't do damage to others.
over_the_counter_morning_after_pill,a2,objection,But without a prescription requirement there's also no medical advice given before intake.
over_the_counter_morning_after_pill,a3,premise,"Since the impact of the morning-after pill is so massive, particularly due to its abortive effect,"
over_the_counter_morning_after_pill,a4,claim,dispensing it without medical advice would be inappropriate.
over_the_counter_morning_after_pill,a5,premise,"Easy access to the morning-after pill could also result in its appearing to be an easier method than other forms of contraception that, however, have fewer health effects."
over_the_counter_morning_after_pill,a6,claim,For instance the morning-after pill could result in a decrease in the use of condoms and thus lead to an increase in new infections with Aids.
TXL_airport_remain_operational_after_BER_opening,a1,claim,As a central airport Berlin Tegel is particularly attractive for business travellers and should by all means remain operational.
TXL_airport_remain_operational_after_BER_opening,a2,premise,It is an asset for the economy.
TXL_airport_remain_operational_after_BER_opening,a3,objection,The negative impact of air traffic however is considerable.
TXL_airport_remain_operational_after_BER_opening,a4,premise,Air traffic is extremely environmentally unfriendly.
TXL_airport_remain_operational_after_BER_opening,a5,premise,"Particularly in Tegel, the residents have been bearing the stress of aircraft noise for decades."
buy_tax_evader_data_from_dubious_sources,a1,premise,"By purchasing illegally acquired tax data of citizens, the state is not only turning itself into a felon, but it is paying criminals, too."
buy_tax_evader_data_from_dubious_sources,a2,premise,"Besides, the purchase of such CDs is unnecessary today,"
buy_tax_evader_data_from_dubious_sources,a3,premise,"as, due to changed terms of business, many banks urge their customers to turn themselves in."
buy_tax_evader_data_from_dubious_sources,a4,claim,Acquiring CDs with tax data of tax delinquents is therefore out of the question.
buy_tax_evader_data_from_dubious_sources,a5,objection,"It is indisputable, however, that by purchasing such data the state increases the pressure on tax evaders to turn themselves in."
stricter_regulation_of_intelligence_services,a1,premise,Intelligence services apparently enjoy indiscriminate liberties.
stricter_regulation_of_intelligence_services,a2,premise,No one can follow their activities in detail.
stricter_regulation_of_intelligence_services,a3,objection,Of course a certain level of secrecy is the basis for the work of intelligence services.
stricter_regulation_of_intelligence_services,a4,objection,"The unregulated work of the secret services, however, carries the danger of misuse of their authority."
stricter_regulation_of_intelligence_services,a5,claim,That's why intelligence services must be regulated in the framework of parliamentary oversight committees.
over_the_counter_morning_after_pill,a1,premise,The morning-after pill has a number of side effects.
over_the_counter_morning_after_pill,a2,premise,A differentiated analysis of its side effects is not achievable for a layperson without medical advice.
over_the_counter_morning_after_pill,a3,objection,"However these are clearly stated on the package insert,"
over_the_counter_morning_after_pill,a4,objection,and a request for an early termination of a pregnancy is the right of every woman.
over_the_counter_morning_after_pill,a5,claim,The morning-after pill should only be prescribed after counselling by a physician or pharmacist.
charge_tuition_fees,a1,premise,Every German citizen has a right to education.
charge_tuition_fees,a2,premise,"Quality at universities has its price,"
charge_tuition_fees,a3,objection,which is why students also ought to be involved in this cost factor.
charge_tuition_fees,a4,objection,But education must not be a question of money in a wealthy society such as Germany.
charge_tuition_fees,a5,claim,Therefore universities should not charge tuition fees in Germany.
increase_weight_of_BA_thesis_in_final_grade,a1,objection,The bachelor thesis reflects both the content and the methods of the topics covered during a degree programme.
increase_weight_of_BA_thesis_in_final_grade,a2,premise,But one can make occasional mistakes in the thesis.
increase_weight_of_BA_thesis_in_final_grade,a3,premise,"If this carries more weight, many good individual assignments done during the course of study may be obscured."
increase_weight_of_BA_thesis_in_final_grade,a4,premise,A good grade for the thesis also significantly depends on the supervision of a dedicated teacher.
increase_weight_of_BA_thesis_in_final_grade,a5,claim,Due to the many random factors the bachelor thesis should not play a bigger role.
keep_retirement_at_63,a1,premise,"Germany's aging society is undergoing demographic change,"
keep_retirement_at_63,a2,premise,and the age of those who are physically and mentally fit is increasing steadily.
keep_retirement_at_63,a3,premise,Thus social security and pension costs are increasing.
keep_retirement_at_63,a4,objection,Yet no one should be required to work for more than 40 years.
keep_retirement_at_63,a5,claim,Raising the relative retirement age on the basis of the physical fitness of the average citizen is fair.
allow_shops_to_open_on_holidays_and_sundays,a1,objection,Due to the increase in opening hours on Sundays and holidays there is a rise in employment.
allow_shops_to_open_on_holidays_and_sundays,a2,premise,"However it's mainly temps (that is, students, pupils etc.) who are employed,"
allow_shops_to_open_on_holidays_and_sundays,a3,objection,so this has hardly any effect on the level of full-time employment and the number of unemployed.
allow_shops_to_open_on_holidays_and_sundays,a4,premise,"On top of that, private and family life suffers massively because of this reduction and shifting in designated off-times."
allow_shops_to_open_on_holidays_and_sundays,a5,premise,And it’s only the large companies that can afford the additional personnel expenditure.
allow_shops_to_open_on_holidays_and_sundays,a6,claim,For these reasons supermarkets and shopping centres should not be allowed to be open for business on arbitrary Sundays and holidays.
keep_retirement_at_63,a1,objection,Although the workload is getting heavier in many professions
keep_retirement_at_63,a2,objection,"and physical and psychological wear on personnel is steadily increasing,"
keep_retirement_at_63,a3,claim,the statutory retirement age should in the future not remain at 63 years.
keep_retirement_at_63,a4,premise,"For, due to the low birth rate, the proportion of the elderly population and with it pension costs are on the rise,"
keep_retirement_at_63,a5,premise,"and furthermore, due to today's healthcare most people in many occupations are fitter for work in old age than before."
health_insurance_cover_complementary_medicine,a1,objection,Many people see proven relief of their symptoms and complaints by complementary medicine.
health_insurance_cover_complementary_medicine,a2,objection,However there is no substantiated data that this healing isn't simply due to the placebo effect.
health_insurance_cover_complementary_medicine,a3,premise,"Besides many practices in this field are not regulated professions,"
health_insurance_cover_complementary_medicine,a4,premise,which means that quacks and phonies can practice these occupations unknown to the patients.
health_insurance_cover_complementary_medicine,a5,claim,That's why the statutory health insurance companies should not cover such treatments.
health_insurance_cover_complementary_medicine,a6,objection,It would be conceivable to invest more into the training and control of this occupation sector on the part of the state.
partial_housing_development_at_Tempelhofer_Feld,a1,premise,"For years there has been a housing shortage in Berlin,"
partial_housing_development_at_Tempelhofer_Feld,a2,premise,"so that using Tempelhofer Feld, which offers a lot of open space and is currently hardly developed, as living space is a sensible idea."
partial_housing_development_at_Tempelhofer_Feld,a3,premise,"Since the area belongs to the federal state, or the federation,"
partial_housing_development_at_Tempelhofer_Feld,a4,premise,it could even be used for social housing with affordable rents.
partial_housing_development_at_Tempelhofer_Feld,a5,objection,"Admittedly the fields have currently become an attractive leisure park with sporting areas for many visitors and Berliners, especially in spring and summer."
partial_housing_development_at_Tempelhofer_Feld,a6,claim,"If however one could find a compromise between green space and housing, then Tempelhofer Feld should definitely be made available for residential construction."
over_the_counter_morning_after_pill,a1,premise,"Being a pharmacist myself,"
over_the_counter_morning_after_pill,a2,claim,I argue categorically in favour of over-the-counter availability of the morning-after pill in pharmacies.
over_the_counter_morning_after_pill,a3,premise,From a medical perspective the morning-after pill works best when taken as soon as possible after intercourse.
over_the_counter_morning_after_pill,a4,premise,"Always having to visit the doctor first (including travel and waiting time, possible embarrassment, etc.) leads to more unwanted pregnancies."
over_the_counter_morning_after_pill,a5,objection,Many opponents of the pill point out that this does away with the consultation at the doctor's and many women take it unnecessarily.
over_the_counter_morning_after_pill,a6,objection,"However, the fact is that we pharmacists are legally required to inform the patients and possess the same subject matter expertise as doctors."
EU_influence_on_political_events_in_Ukraine,a1,premise,A violation of international law should be more than enough to consider a reaction!
EU_influence_on_political_events_in_Ukraine,a2,premise,"Humanity has made enough mistakes throughout history by waiting too long, and when it has finally reacted, the only remaining option has usually been war."
EU_influence_on_political_events_in_Ukraine,a3,objection,"It's to be noted that in our civilized world, in a democratic country, the people can determine their own fate,"
EU_influence_on_political_events_in_Ukraine,a4,objection,"as long as the motivation of those people isn't triggered by propaganda, corruption and military pressure."
EU_influence_on_political_events_in_Ukraine,a5,premise,"Since, however, in Russia besides gas and oil only propaganda and corruption rule,"
EU_influence_on_political_events_in_Ukraine,a6,claim,the EU should intervene right away.
keep_retirement_at_63,a1,objection,"Retirement at 63, that's something everyone who has toiled away (nonstop) up to this point surely deserves."
keep_retirement_at_63,a2,premise,Only the question remains whether this early 'leisure' will be nicer if you have no idea what do to all day and you statistically still have almost 20 (!!!) years to go?
keep_retirement_at_63,a3,premise,"Also, one isn't taking responsibility for society if one gives up one's experienced, healthy and highly qualified capabilities earlier than necessary for private/personal reasons."
keep_retirement_at_63,a4,claim,"Especially now, as there is a lack of skilled labour, it's irresponsible for the economy and prosperity to retire at 63."
make_video_games_olympic,a1,premise,"Video games, namely FIFA in my case, can fascinate young people for hours more intensively and emotionally than any sport in the world!"
make_video_games_olympic,a2,claim,It would be fair to make them into an Olympic event.
make_video_games_olympic,a3,objection,"Perhaps it is less thrilling for a spectator than for the player,"
make_video_games_olympic,a4,objection,"but also for contemporary Olympic events, I recall curling and 50km cross-country skiing, you have to be more than a freak to follow those more properly than only in the roundup of highlights."
make_video_games_olympic,a5,premise,"Plus the hurdle to make video games Olympic events is minimal,"
make_video_games_olympic,a6,premise,"as you don't even need doping tests, only a neutral console."
make_video_games_olympic,a7,premise,"And many a video game is physically and particularly mentally more demanding, when I think of the last FIFA tournament's final, than kicking a ball 20 metres."
cap_rent_increases,a1,premise,Rent prices are already regulated in favour of tenants due to existing laws and the rent index.
cap_rent_increases,a2,premise,"In view of the high prices for buying flats with existing rent contracts, these are an unattractive investment."
cap_rent_increases,a3,objection,"Even if one might think that additional rent control is needed besides the current tenant protection,"
