topic_id,file_id,claims
cap_rent_increases,micro_b009,It is unfair and unjustifiable that new tenants have to pay a much higher rent than previous residents.
cap_rent_increases,micro_b024,A stop must be put to exorbitant rents by imposing a limit on rent increases when changing residences.
introduce_capital_punishment,micro_k020,The state ought to prevent murder - not avenge it.
introduce_capital_punishment,micro_b031,"One should not re-introduce capital punishment in Germany,"
introduce_capital_punishment,micro_b023,That's why Germany should not introduce capital punishment!
introduce_capital_punishment,micro_k025,"Still, the state needs the death penalty as a deterrent to horrific crimes."
introduce_capital_punishment,micro_k009,Germany should by no means introduce capital punishment.
introduce_capital_punishment,micro_b006,The death penalty is a legal means that as such is not practicable in Germany.
introduce_capital_punishment,micro_k006,We don't need it.
introduce_capital_punishment,micro_b027,The death penalty should be abandoned everywhere.
TXL_airport_remain_operational_after_BER_opening,micro_b064,"After the new BER Airport has been commissioned, Tegel should definitely be closed."
TXL_airport_remain_operational_after_BER_opening,micro_b044,As a central airport Berlin Tegel is particularly attractive for business travellers and should by all means remain operational.
TXL_airport_remain_operational_after_BER_opening,micro_k015,"BER should be re-conceptualized from scratch,"
keep_retirement_at_63,micro_k017,"The implementation of retirement at 63 is no longer socially sustainable,"
keep_retirement_at_63,micro_b057,"Especially now, as there is a lack of skilled labour, it's irresponsible for the economy and prosperity to retire at 63."
keep_retirement_at_63,micro_b022,"No, the retirement age should be raised to 65 again."
keep_retirement_at_63,micro_b062,I am not of the opinion that the retirement age should be set at 63 years.
keep_retirement_at_63,micro_b052,the statutory retirement age should in the future not remain at 63 years.
keep_retirement_at_63,micro_b050,Raising the relative retirement age on the basis of the physical fitness of the average citizen is fair.
stricter_regulation_of_intelligence_services,micro_b005,Intelligence services must urgently be regulated more tightly by parliament;
stricter_regulation_of_intelligence_services,micro_b041,Secret services must be more tightly regulated in order to prevent excessive surveillance.
stricter_regulation_of_intelligence_services,micro_k014,"Intelligence services should be more closely regulated by parliament,"
stricter_regulation_of_intelligence_services,micro_b046,That's why intelligence services must be regulated in the framework of parliamentary oversight committees.
over_the_counter_morning_after_pill,micro_b037,The morning-after pill ought to be available over-the-counter in pharmacies.
over_the_counter_morning_after_pill,micro_k029,No one should have the possibility to pick up the morning-after pill over the counter at the pharmacy.
over_the_counter_morning_after_pill,micro_b055,I argue categorically in favour of over-the-counter availability of the morning-after pill in pharmacies.
over_the_counter_morning_after_pill,micro_b042,For instance the morning-after pill could result in a decrease in the use of condoms and thus lead to an increase in new infections with Aids. | dispensing it without medical advice would be inappropriate.
over_the_counter_morning_after_pill,micro_b047,The morning-after pill should only be prescribed after counselling by a physician or pharmacist.
over_the_counter_morning_after_pill,micro_b008,That's why a visit to the doctor and professional advice should remain mandatory.
public_broadcasting_fees_on_demand,micro_k001,Not everyone should be obliged to pay the TV & radio licence.
public_broadcasting_fees_on_demand,micro_b014,"Actually only those people should pay a TV & radio licence fee who really watch ARD, ZDF, Arte etc."
public_broadcasting_fees_on_demand,micro_k027,The TV license fee should only be collected from those who actually make use of the programming of the public broadcasters.
public_broadcasting_fees_on_demand,micro_b029,The TV/radio licence fee can only be required of all citizens/households equally.
public_broadcasting_fees_on_demand,micro_k010,"Considering what's on television these days, it would be appropriate to only have those people pay who actually (want to) follow the programming."
public_broadcasting_fees_on_demand,micro_b004,"Nevertheless, everybody should contribute to the funding of the public broadcasters in equal measure,"
public_broadcasting_fees_on_demand,micro_k019,everyone should chip in.
increase_weight_of_BA_thesis_in_final_grade,micro_b049,Due to the many random factors the bachelor thesis should not play a bigger role.
increase_weight_of_BA_thesis_in_final_grade,micro_k023,"The BA dissertation should, if not make up the entire grade, then at least constitute a larger share of it."
increase_weight_of_BA_thesis_in_final_grade,micro_b016,It would therefore be wise to adjust the required effort for final theses accordingly.
increase_weight_of_BA_thesis_in_final_grade,micro_k003,Current regulations for the calculation of the total grade should therefore be maintained.
partial_housing_development_at_Tempelhofer_Feld,micro_b033,"I find the peripheral housing development at Tempelhofer Feld right for urban planning reasons,"
partial_housing_development_at_Tempelhofer_Feld,micro_b054,"If however one could find a compromise between green space and housing, then Tempelhofer Feld should definitely be made available for residential construction."
buy_tax_evader_data_from_dubious_sources,micro_b019,Tax data that are not made available for free should therefore not be acquired by the state.
buy_tax_evader_data_from_dubious_sources,micro_b045,Acquiring CDs with tax data of tax delinquents is therefore out of the question.
EU_influence_on_political_events_in_Ukraine,micro_k016,the EU should not intervene in local politics.
EU_influence_on_political_events_in_Ukraine,micro_b039,The EU should exert influence on the political events in Ukraine.
EU_influence_on_political_events_in_Ukraine,micro_b056,the EU should intervene right away.
allow_shops_to_open_on_holidays_and_sundays,micro_k004,"Supermarkets and shopping centres should be allowed to open on any Sundays and holidays. | Many European countries, for instance the Netherlands, Sweden and Great Britain, have already understood this and successfully adjusted the opening hours for retailers."
allow_shops_to_open_on_holidays_and_sundays,micro_k022,It is quite clear that Sunday should remain a day of rest.
allow_shops_to_open_on_holidays_and_sundays,micro_k007,Supermarkets and shopping centres should be allowed to open any Sundays and holidays at their discretion.
allow_shops_to_open_on_holidays_and_sundays,micro_b051,For these reasons supermarkets and shopping centres should not be allowed to be open for business on arbitrary Sundays and holidays.
allow_shops_to_open_on_holidays_and_sundays,micro_b015,"Well, I as an employee find it very practical to be able to shop at least on weekends."
allow_shops_to_open_on_holidays_and_sundays,micro_k013,Hence it is good when shops are not open on Sundays and public holidays.
allow_shops_to_open_on_holidays_and_sundays,micro_k018,That's why there ought to be one day a week when supermarkets and shopping centres stay closed.
allow_shops_to_open_on_holidays_and_sundays,micro_b060,Opening on Sundays and holidays would therefore help both customers and shops.
make_video_games_olympic,micro_b020,computer games should also not be recognized as Olympic events.
make_video_games_olympic,micro_b058,It would be fair to make them into an Olympic event.
make_video_games_olympic,micro_b036,"Video games ought to be included in the ranks of Olympic events. | including planning abilities, reaction time, and reasoning to name but a few."
waste_separation,micro_b001,We Berliners should take the chance and become pioneers in waste separation!
