topic,arg_A,arg_B,text_A,text_B,type_A,type_B,s2_score
MISSING_TOPIC,a1,a3,Freddy and I must be siblings.,"Nevertheless the head of government, Merkel, had better restrain herself in announcing handouts this year.",claim,claim,0.2536
MISSING_TOPIC,a3,a2,Thus one of his ex-girlfriends must have been there.,We urgently need a midfield replacement for the coming match.,claim,claim,0.2534
MISSING_TOPIC,a1,a3,I can only recommend the new smartphone XYZ-123 to everyone.,"This is why we need more police presence in public transport,",claim,claim,0.2531
MISSING_TOPIC,a1,a3,"You should watch less television,",That's why we should not allow any additional bank rescues.,claim,claim,0.2506
MISSING_TOPIC,a1,a3,We should go to the Baltic Sea on the weekend.,"That's why they should be taken off the market,",claim,claim,0.2496
MISSING_TOPIC,a1,a1,Peter should close his snack bar as soon as possible.,The prototype of Audi's new sports car has car lovers raving.,claim,claim,0.2474
MISSING_TOPIC,a2,a1,That's why everyone should have an anti-virus programme on his or her Windows machine.,I can only recommend the new smartphone XYZ-123 to everyone.,claim,claim,0.2467
MISSING_TOPIC,a1,a1,In a few decades our society will have a disproportionate number of old people:,The prototype of Audi's new sports car has car lovers raving.,claim,claim,0.2465
MISSING_TOPIC,a3,a2,"This is why we need more police presence in public transport,",We urgently need a midfield replacement for the coming match.,claim,claim,0.2458
MISSING_TOPIC,a1,a2,It was clearly a mistake to include Tom in our football team.,That's why everyone should have an anti-virus programme on his or her Windows machine.,claim,claim,0.2449
MISSING_TOPIC,a1,a3,The prototype of Audi's new sports car has car lovers raving.,"That's why they should be taken off the market,",claim,claim,0.2439
MISSING_TOPIC,a1,a1,Freddy and I must be siblings.,I can only recommend the new smartphone XYZ-123 to everyone.,claim,claim,0.2418
MISSING_TOPIC,a1,a1,It was clearly a mistake to include Tom in our football team.,I think Fritz has never been in a fight in his life.,claim,claim,0.2411
MISSING_TOPIC,a1,a1,Berlin's basketball team has just come out of a sobering season.,I think Fritz has never been in a fight in his life.,claim,claim,0.2393
MISSING_TOPIC,a3,a3,We should thus all limit our consumption of meat rigorously.,That's why we should not allow any additional bank rescues.,claim,claim,0.2389
MISSING_TOPIC,a1,a3,I think Fritz has never been in a fight in his life.,Hence the Mayor of Berlin ought to keep the hurdles for organizing such events as low as possible.,claim,claim,0.2387
MISSING_TOPIC,a1,a1,Freddy and I must be siblings.,Today I will delete my Facebook account.,claim,claim,0.2386
MISSING_TOPIC,a3,a2,We should thus all limit our consumption of meat rigorously.,We urgently need a midfield replacement for the coming match.,claim,claim,0.2386
MISSING_TOPIC,a1,a2,Peter should close his snack bar as soon as possible.,We urgently need a midfield replacement for the coming match.,claim,claim,0.2372
MISSING_TOPIC,a2,a1,We urgently need a midfield replacement for the coming match.,The prototype of Audi's new sports car has car lovers raving.,claim,claim,0.237
MISSING_TOPIC,a2,a3,That's why everyone should have an anti-virus programme on his or her Windows machine.,"Nevertheless the head of government, Merkel, had better restrain herself in announcing handouts this year.",claim,claim,0.2368
MISSING_TOPIC,a1,a1,Freddy and I must be siblings.,The current tour of Tokio Hotel is breaking all records.,claim,claim,0.2352
MISSING_TOPIC,a1,a1,Peter should close his snack bar as soon as possible.,The current tour of Tokio Hotel is breaking all records.,claim,claim,0.2334
MISSING_TOPIC,a3,a1,you should buy IBM shares if you want to invest.,The prototype of Audi's new sports car has car lovers raving.,claim,claim,0.2334
MISSING_TOPIC,a1,a1,Freddy and I must be siblings.,We should go to the Baltic Sea on the weekend.,claim,claim,0.2323
MISSING_TOPIC,a3,a3,"This is why we need more police presence in public transport,","Nevertheless the head of government, Merkel, had better restrain herself in announcing handouts this year.",claim,claim,0.2321
MISSING_TOPIC,a1,a1,"You should watch less television,",The prototype of Audi's new sports car has car lovers raving.,claim,claim,0.2308
MISSING_TOPIC,a1,a1,Berlin's basketball team has just come out of a sobering season.,We should go to the Baltic Sea on the weekend.,claim,claim,0.2287
MISSING_TOPIC,a3,a1,you should buy IBM shares if you want to invest.,"You should watch less television,",claim,claim,0.2284
MISSING_TOPIC,a1,a3,Berlin's basketball team has just come out of a sobering season.,you should buy IBM shares if you want to invest.,claim,claim,0.2256
MISSING_TOPIC,a1,a1,The current tour of Tokio Hotel is breaking all records.,I think Fritz has never been in a fight in his life.,claim,claim,0.2246
MISSING_TOPIC,a1,a1,It was clearly a mistake to include Tom in our football team.,I can only recommend the new smartphone XYZ-123 to everyone.,claim,claim,0.2243
MISSING_TOPIC,a1,a1,We should go to the Baltic Sea on the weekend.,I can only recommend the new smartphone XYZ-123 to everyone.,claim,claim,0.2243
MISSING_TOPIC,a1,a3,In a few decades our society will have a disproportionate number of old people:,"This is why we need more police presence in public transport,",claim,claim,0.223
MISSING_TOPIC,a3,a3,you should buy IBM shares if you want to invest.,Hence the Mayor of Berlin ought to keep the hurdles for organizing such events as low as possible.,claim,claim,0.2225
MISSING_TOPIC,a3,a3,"That's why they should be taken off the market,",Hence the Mayor of Berlin ought to keep the hurdles for organizing such events as low as possible.,claim,claim,0.2219
MISSING_TOPIC,a1,a3,Freddy and I must be siblings.,"That's why they should be taken off the market,",claim,claim,0.2217
MISSING_TOPIC,a1,a1,I can only recommend the new smartphone XYZ-123 to everyone.,The prototype of Audi's new sports car has car lovers raving.,claim,claim,0.2213
MISSING_TOPIC,a2,a1,That's why everyone should have an anti-virus programme on his or her Windows machine.,In a few decades our society will have a disproportionate number of old people:,claim,claim,0.2208
MISSING_TOPIC,a1,a1,I think Fritz has never been in a fight in his life.,Tomorrow I will skydive for the first time in my life.,claim,claim,0.2207
MISSING_TOPIC,a1,a3,The current tour of Tokio Hotel is breaking all records.,"That's why they should be taken off the market,",claim,claim,0.2206
MISSING_TOPIC,a1,a3,It was clearly a mistake to include Tom in our football team.,"This is why we need more police presence in public transport,",claim,claim,0.2194
MISSING_TOPIC,a3,a1,"That's why they should be taken off the market,",Tomorrow I will skydive for the first time in my life.,claim,claim,0.2174
MISSING_TOPIC,a1,a1,It was clearly a mistake to include Tom in our football team.,In a few decades our society will have a disproportionate number of old people:,claim,claim,0.2164
MISSING_TOPIC,a1,a1,The current tour of Tokio Hotel is breaking all records.,"You should watch less television,",claim,claim,0.2157
MISSING_TOPIC,a1,a1,Freddy and I must be siblings.,The prototype of Audi's new sports car has car lovers raving.,claim,claim,0.2133
MISSING_TOPIC,a1,a2,Freddy and I must be siblings.,We urgently need a midfield replacement for the coming match.,claim,claim,0.2126
MISSING_TOPIC,a1,a1,Today I will delete my Facebook account.,The current tour of Tokio Hotel is breaking all records.,claim,claim,0.212
MISSING_TOPIC,a1,a3,The current tour of Tokio Hotel is breaking all records.,"Nevertheless the head of government, Merkel, had better restrain herself in announcing handouts this year.",claim,claim,0.2119
MISSING_TOPIC,a1,a2,Berlin's basketball team has just come out of a sobering season.,That's why everyone should have an anti-virus programme on his or her Windows machine.,claim,claim,0.21
MISSING_TOPIC,a1,a1,It was clearly a mistake to include Tom in our football team.,The prototype of Audi's new sports car has car lovers raving.,claim,claim,0.2091
MISSING_TOPIC,a1,a3,Freddy and I must be siblings.,That's why we should not allow any additional bank rescues.,claim,claim,0.209
MISSING_TOPIC,a2,a3,That's why everyone should have an anti-virus programme on his or her Windows machine.,you should buy IBM shares if you want to invest.,claim,claim,0.2084
MISSING_TOPIC,a1,a1,Peter should close his snack bar as soon as possible.,"You should watch less television,",claim,claim,0.2059
MISSING_TOPIC,a1,a1,Berlin's basketball team has just come out of a sobering season.,The current tour of Tokio Hotel is breaking all records.,claim,claim,0.2048
MISSING_TOPIC,a3,a3,Thus one of his ex-girlfriends must have been there.,That's why we should not allow any additional bank rescues.,claim,claim,0.2038
MISSING_TOPIC,a1,a2,I think Fritz has never been in a fight in his life.,We urgently need a midfield replacement for the coming match.,claim,claim,0.2035
MISSING_TOPIC,a1,a3,Today I will delete my Facebook account.,"That's why they should be taken off the market,",claim,claim,0.203
MISSING_TOPIC,a2,a1,That's why everyone should have an anti-virus programme on his or her Windows machine.,Peter should close his snack bar as soon as possible.,claim,claim,0.2008
MISSING_TOPIC,a1,a3,Peter should close his snack bar as soon as possible.,We should thus all limit our consumption of meat rigorously.,claim,claim,0.2002
MISSING_TOPIC,a2,a1,That's why everyone should have an anti-virus programme on his or her Windows machine.,I think Fritz has never been in a fight in his life.,claim,claim,0.1999
MISSING_TOPIC,a1,a3,Today I will delete my Facebook account.,We should thus all limit our consumption of meat rigorously.,claim,claim,0.198
MISSING_TOPIC,a3,a1,That's why we should not allow any additional bank rescues.,Tomorrow I will skydive for the first time in my life.,claim,claim,0.1977
MISSING_TOPIC,a1,a3,The current tour of Tokio Hotel is breaking all records.,We should thus all limit our consumption of meat rigorously.,claim,claim,0.1962
MISSING_TOPIC,a1,a3,It was clearly a mistake to include Tom in our football team.,"That's why they should be taken off the market,",claim,claim,0.1951
MISSING_TOPIC,a1,a3,I can only recommend the new smartphone XYZ-123 to everyone.,Thus one of his ex-girlfriends must have been there.,claim,claim,0.195
MISSING_TOPIC,a1,a3,It was clearly a mistake to include Tom in our football team.,Hence the Mayor of Berlin ought to keep the hurdles for organizing such events as low as possible.,claim,claim,0.1939
MISSING_TOPIC,a1,a1,Berlin's basketball team has just come out of a sobering season.,I can only recommend the new smartphone XYZ-123 to everyone.,claim,claim,0.1935
MISSING_TOPIC,a1,a2,Berlin's basketball team has just come out of a sobering season.,We urgently need a midfield replacement for the coming match.,claim,claim,0.1933
MISSING_TOPIC,a3,a1,Thus one of his ex-girlfriends must have been there.,I think Fritz has never been in a fight in his life.,claim,claim,0.1924
MISSING_TOPIC,a1,a2,The current tour of Tokio Hotel is breaking all records.,We urgently need a midfield replacement for the coming match.,claim,claim,0.1911
MISSING_TOPIC,a3,a1,Thus one of his ex-girlfriends must have been there.,The prototype of Audi's new sports car has car lovers raving.,claim,claim,0.1908
MISSING_TOPIC,a2,a3,That's why everyone should have an anti-virus programme on his or her Windows machine.,Thus one of his ex-girlfriends must have been there.,claim,claim,0.1886
MISSING_TOPIC,a3,a3,Thus one of his ex-girlfriends must have been there.,"This is why we need more police presence in public transport,",claim,claim,0.1875
MISSING_TOPIC,a1,a1,Berlin's basketball team has just come out of a sobering season.,Today I will delete my Facebook account.,claim,claim,0.1868
MISSING_TOPIC,a1,a3,Berlin's basketball team has just come out of a sobering season.,That's why we should not allow any additional bank rescues.,claim,claim,0.1862
MISSING_TOPIC,a1,a3,"You should watch less television,","That's why they should be taken off the market,",claim,claim,0.1862
MISSING_TOPIC,a2,a3,We urgently need a midfield replacement for the coming match.,Hence the Mayor of Berlin ought to keep the hurdles for organizing such events as low as possible.,claim,claim,0.1839
MISSING_TOPIC,a3,a1,We should thus all limit our consumption of meat rigorously.,The prototype of Audi's new sports car has car lovers raving.,claim,claim,0.1822
MISSING_TOPIC,a3,a3,you should buy IBM shares if you want to invest.,"This is why we need more police presence in public transport,",claim,claim,0.1821
MISSING_TOPIC,a1,a3,Berlin's basketball team has just come out of a sobering season.,"Nevertheless the head of government, Merkel, had better restrain herself in announcing handouts this year.",claim,claim,0.1812
MISSING_TOPIC,a1,a1,I can only recommend the new smartphone XYZ-123 to everyone.,Tomorrow I will skydive for the first time in my life.,claim,claim,0.1805
MISSING_TOPIC,a1,a1,Today I will delete my Facebook account.,In a few decades our society will have a disproportionate number of old people:,claim,claim,0.1798
MISSING_TOPIC,a3,a3,you should buy IBM shares if you want to invest.,"Nevertheless the head of government, Merkel, had better restrain herself in announcing handouts this year.",claim,claim,0.1792
MISSING_TOPIC,a1,a3,"You should watch less television,","Nevertheless the head of government, Merkel, had better restrain herself in announcing handouts this year.",claim,claim,0.1779
MISSING_TOPIC,a1,a3,Berlin's basketball team has just come out of a sobering season.,We should thus all limit our consumption of meat rigorously.,claim,claim,0.1778
MISSING_TOPIC,a3,a1,"Nevertheless the head of government, Merkel, had better restrain herself in announcing handouts this year.",The prototype of Audi's new sports car has car lovers raving.,claim,claim,0.1778
MISSING_TOPIC,a1,a3,I can only recommend the new smartphone XYZ-123 to everyone.,Hence the Mayor of Berlin ought to keep the hurdles for organizing such events as low as possible.,claim,claim,0.1744
MISSING_TOPIC,a1,a3,In a few decades our society will have a disproportionate number of old people:,We should thus all limit our consumption of meat rigorously.,claim,claim,0.1742
MISSING_TOPIC,a3,a3,We should thus all limit our consumption of meat rigorously.,Hence the Mayor of Berlin ought to keep the hurdles for organizing such events as low as possible.,claim,claim,0.1736
MISSING_TOPIC,a1,a3,Today I will delete my Facebook account.,That's why we should not allow any additional bank rescues.,claim,claim,0.1732
MISSING_TOPIC,a3,a1,you should buy IBM shares if you want to invest.,In a few decades our society will have a disproportionate number of old people:,claim,claim,0.1729
MISSING_TOPIC,a1,a3,In a few decades our society will have a disproportionate number of old people:,Hence the Mayor of Berlin ought to keep the hurdles for organizing such events as low as possible.,claim,claim,0.1718
MISSING_TOPIC,a1,a3,I can only recommend the new smartphone XYZ-123 to everyone.,"Nevertheless the head of government, Merkel, had better restrain herself in announcing handouts this year.",claim,claim,0.1717
MISSING_TOPIC,a3,a1,you should buy IBM shares if you want to invest.,I can only recommend the new smartphone XYZ-123 to everyone.,claim,claim,0.171
MISSING_TOPIC,a3,a1,you should buy IBM shares if you want to invest.,I think Fritz has never been in a fight in his life.,claim,claim,0.1703
MISSING_TOPIC,a1,a3,I think Fritz has never been in a fight in his life.,"That's why they should be taken off the market,",claim,claim,0.1698
MISSING_TOPIC,a1,a1,Peter should close his snack bar as soon as possible.,In a few decades our society will have a disproportionate number of old people:,claim,claim,0.168
MISSING_TOPIC,a1,a1,I can only recommend the new smartphone XYZ-123 to everyone.,I think Fritz has never been in a fight in his life.,claim,claim,0.1676
MISSING_TOPIC,a3,a3,"Nevertheless the head of government, Merkel, had better restrain herself in announcing handouts this year.",We should thus all limit our consumption of meat rigorously.,claim,claim,0.1675
MISSING_TOPIC,a3,a1,We should thus all limit our consumption of meat rigorously.,Tomorrow I will skydive for the first time in my life.,claim,claim,0.165
MISSING_TOPIC,a1,a3,Peter should close his snack bar as soon as possible.,you should buy IBM shares if you want to invest.,claim,claim,0.1644
MISSING_TOPIC,a1,a1,Today I will delete my Facebook account.,The prototype of Audi's new sports car has car lovers raving.,claim,claim,0.1641
MISSING_TOPIC,a1,a1,"You should watch less television,",In a few decades our society will have a disproportionate number of old people:,claim,claim,0.1636
MISSING_TOPIC,a1,a3,Freddy and I must be siblings.,you should buy IBM shares if you want to invest.,claim,claim,0.1632
MISSING_TOPIC,a1,a3,The current tour of Tokio Hotel is breaking all records.,you should buy IBM shares if you want to invest.,claim,claim,0.1623
MISSING_TOPIC,a1,a3,We should go to the Baltic Sea on the weekend.,Hence the Mayor of Berlin ought to keep the hurdles for organizing such events as low as possible.,claim,claim,0.1608
MISSING_TOPIC,a1,a1,Berlin's basketball team has just come out of a sobering season.,"You should watch less television,",claim,claim,0.1589
MISSING_TOPIC,a1,a3,We should go to the Baltic Sea on the weekend.,"Nevertheless the head of government, Merkel, had better restrain herself in announcing handouts this year.",claim,claim,0.1587
MISSING_TOPIC,a1,a3,In a few decades our society will have a disproportionate number of old people:,"Nevertheless the head of government, Merkel, had better restrain herself in announcing handouts this year.",claim,claim,0.1586
MISSING_TOPIC,a1,a1,In a few decades our society will have a disproportionate number of old people:,I can only recommend the new smartphone XYZ-123 to everyone.,claim,claim,0.158
MISSING_TOPIC,a1,a3,Today I will delete my Facebook account.,you should buy IBM shares if you want to invest.,claim,claim,0.1567
MISSING_TOPIC,a1,a1,The current tour of Tokio Hotel is breaking all records.,I can only recommend the new smartphone XYZ-123 to everyone.,claim,claim,0.1563
MISSING_TOPIC,a1,a3,Peter should close his snack bar as soon as possible.,Thus one of his ex-girlfriends must have been there.,claim,claim,0.156
MISSING_TOPIC,a1,a1,"You should watch less television,",I can only recommend the new smartphone XYZ-123 to everyone.,claim,claim,0.1556
MISSING_TOPIC,a1,a1,Today I will delete my Facebook account.,Peter should close his snack bar as soon as possible.,claim,claim,0.1555
MISSING_TOPIC,a2,a1,That's why everyone should have an anti-virus programme on his or her Windows machine.,Tomorrow I will skydive for the first time in my life.,claim,claim,0.1543
MISSING_TOPIC,a1,a3,Freddy and I must be siblings.,Thus one of his ex-girlfriends must have been there.,claim,claim,0.1538
MISSING_TOPIC,a1,a3,Freddy and I must be siblings.,Hence the Mayor of Berlin ought to keep the hurdles for organizing such events as low as possible.,claim,claim,0.1534
MISSING_TOPIC,a1,a3,Berlin's basketball team has just come out of a sobering season.,Thus one of his ex-girlfriends must have been there.,claim,claim,0.1524
MISSING_TOPIC,a1,a3,In a few decades our society will have a disproportionate number of old people:,That's why we should not allow any additional bank rescues.,claim,claim,0.1517
MISSING_TOPIC,a1,a3,I think Fritz has never been in a fight in his life.,"This is why we need more police presence in public transport,",claim,claim,0.1508
MISSING_TOPIC,a1,a3,We should go to the Baltic Sea on the weekend.,"This is why we need more police presence in public transport,",claim,claim,0.15
MISSING_TOPIC,a1,a1,Peter should close his snack bar as soon as possible.,Tomorrow I will skydive for the first time in my life.,claim,claim,0.1491
MISSING_TOPIC,a1,a3,Peter should close his snack bar as soon as possible.,"This is why we need more police presence in public transport,",claim,claim,0.1489
MISSING_TOPIC,a1,a2,I can only recommend the new smartphone XYZ-123 to everyone.,We urgently need a midfield replacement for the coming match.,claim,claim,0.1488
MISSING_TOPIC,a3,a3,you should buy IBM shares if you want to invest.,"That's why they should be taken off the market,",claim,claim,0.1487
MISSING_TOPIC,a1,a3,We should go to the Baltic Sea on the weekend.,That's why we should not allow any additional bank rescues.,claim,claim,0.148
MISSING_TOPIC,a1,a3,Freddy and I must be siblings.,"This is why we need more police presence in public transport,",claim,claim,0.1479
MISSING_TOPIC,a1,a3,Berlin's basketball team has just come out of a sobering season.,"That's why they should be taken off the market,",claim,claim,0.146
MISSING_TOPIC,a1,a1,In a few decades our society will have a disproportionate number of old people:,We should go to the Baltic Sea on the weekend.,claim,claim,0.1435
