topic,arg_A,arg_B,text_A,text_B,type_A,type_B,sbert_score
allow_shops_to_open_on_holidays_and_sundays,a5,a6,Opening on Sundays and holidays would therefore help both customers and shops.,"Furthermore, there's no need to keep shops open on Sundays.",claim,premise,0.7175
allow_shops_to_open_on_holidays_and_sundays,a3,a6,Hence it is good when shops are not open on Sundays and public holidays.,That's why there ought to be one day a week when supermarkets and shopping centres stay closed.,claim,claim,0.7137
allow_shops_to_open_on_holidays_and_sundays,a5,a3,Opening on Sundays and holidays would therefore help both customers and shops.,as shops are open till 10pm on some days.,claim,premise,0.7119
allow_shops_to_open_on_holidays_and_sundays,a2,a1,"Sure, other people have to work in the shops on the weekend,","Owner-run shops may potentially be overwhelmed by additional work times on Sundays and holidays,",objection,objection,0.7102
allow_shops_to_open_on_holidays_and_sundays,a6,a3,For these reasons supermarkets and shopping centres should not be allowed to be open for business on arbitrary Sundays and holidays.,Hence it is good when shops are not open on Sundays and public holidays.,claim,claim,0.7021
allow_shops_to_open_on_holidays_and_sundays,a5,a6,Opening on Sundays and holidays would therefore help both customers and shops.,That's why there ought to be one day a week when supermarkets and shopping centres stay closed.,claim,claim,0.6958
allow_shops_to_open_on_holidays_and_sundays,a2,a3,"For in this way, Sunday shopping days would be better spread out through the year.",Hence it is good when shops are not open on Sundays and public holidays.,premise,claim,0.6956
allow_shops_to_open_on_holidays_and_sundays,a6,a3,That's why there ought to be one day a week when supermarkets and shopping centres stay closed.,as shops are open till 10pm on some days.,claim,premise,0.6866
allow_shops_to_open_on_holidays_and_sundays,a1,a6,Supermarkets and shopping centres should be allowed to open any Sundays and holidays at their discretion.,"Furthermore, there's no need to keep shops open on Sundays.",claim,premise,0.684
allow_shops_to_open_on_holidays_and_sundays,a1,a1,Supermarkets and shopping centres should be allowed to open any Sundays and holidays at their discretion.,Supermarket employees and people who work in shopping centres also have the right to a Sunday off work.,claim,premise,0.6826
allow_shops_to_open_on_holidays_and_sundays,a1,a1,Due to the increase in opening hours on Sundays and holidays there is a rise in employment.,"Owner-run shops may potentially be overwhelmed by additional work times on Sundays and holidays,",objection,objection,0.6776
allow_shops_to_open_on_holidays_and_sundays,a1,a3,Supermarkets and shopping centres should be allowed to open any Sundays and holidays at their discretion.,Hence it is good when shops are not open on Sundays and public holidays.,claim,claim,0.6769
allow_shops_to_open_on_holidays_and_sundays,a1,a1,"Owner-run shops may potentially be overwhelmed by additional work times on Sundays and holidays,",Supermarket employees and people who work in shopping centres also have the right to a Sunday off work.,objection,premise,0.6767
allow_shops_to_open_on_holidays_and_sundays,a1,a6,Supermarkets and shopping centres should be allowed to open on any Sundays and holidays.,"Furthermore, there's no need to keep shops open on Sundays.",claim,premise,0.6762
allow_shops_to_open_on_holidays_and_sundays,a3,a3,Hence it is good when shops are not open on Sundays and public holidays.,as shops are open till 10pm on some days.,claim,premise,0.676
allow_shops_to_open_on_holidays_and_sundays,a6,a1,For these reasons supermarkets and shopping centres should not be allowed to be open for business on arbitrary Sundays and holidays.,Supermarket employees and people who work in shopping centres also have the right to a Sunday off work.,claim,premise,0.6758
allow_shops_to_open_on_holidays_and_sundays,a1,a3,"Well, I as an employee find it very practical to be able to shop at least on weekends.",Hence it is good when shops are not open on Sundays and public holidays.,claim,claim,0.6739
allow_shops_to_open_on_holidays_and_sundays,a2,a1,"Sure, other people have to work in the shops on the weekend,",Supermarket employees and people who work in shopping centres also have the right to a Sunday off work.,objection,premise,0.6732
allow_shops_to_open_on_holidays_and_sundays,a1,a3,Supermarkets and shopping centres should be allowed to open on any Sundays and holidays.,Hence it is good when shops are not open on Sundays and public holidays.,claim,claim,0.6731
allow_shops_to_open_on_holidays_and_sundays,a1,a1,Supermarkets and shopping centres should be allowed to open on any Sundays and holidays.,Supermarket employees and people who work in shopping centres also have the right to a Sunday off work.,claim,premise,0.6723
allow_shops_to_open_on_holidays_and_sundays,a6,a6,That's why there ought to be one day a week when supermarkets and shopping centres stay closed.,"Furthermore, there's no need to keep shops open on Sundays.",claim,premise,0.6702
allow_shops_to_open_on_holidays_and_sundays,a1,a2,"Owner-run shops may potentially be overwhelmed by additional work times on Sundays and holidays,","For in this way, Sunday shopping days would be better spread out through the year.",objection,premise,0.6668
allow_shops_to_open_on_holidays_and_sundays,a1,a6,Supermarket employees and people who work in shopping centres also have the right to a Sunday off work.,That's why there ought to be one day a week when supermarkets and shopping centres stay closed.,premise,claim,0.6651
allow_shops_to_open_on_holidays_and_sundays,a1,a3,"Owner-run shops may potentially be overwhelmed by additional work times on Sundays and holidays,",Hence it is good when shops are not open on Sundays and public holidays.,objection,claim,0.6647
allow_shops_to_open_on_holidays_and_sundays,a1,a6,"Owner-run shops may potentially be overwhelmed by additional work times on Sundays and holidays,","Furthermore, there's no need to keep shops open on Sundays.",objection,premise,0.662
allow_shops_to_open_on_holidays_and_sundays,a1,a1,"Well, I as an employee find it very practical to be able to shop at least on weekends.",Supermarket employees and people who work in shopping centres also have the right to a Sunday off work.,claim,premise,0.6618
allow_shops_to_open_on_holidays_and_sundays,a4,a6,"People, however, who work during the week and on Saturdays then have a problem: everyone else can shop weekdays, but they can't.",That's why there ought to be one day a week when supermarkets and shopping centres stay closed.,objection,claim,0.6618
allow_shops_to_open_on_holidays_and_sundays,a5,a4,Opening on Sundays and holidays would therefore help both customers and shops.,"People, however, who work during the week and on Saturdays then have a problem: everyone else can shop weekdays, but they can't.",claim,objection,0.661
allow_shops_to_open_on_holidays_and_sundays,a1,a6,Supermarkets and shopping centres should be allowed to open any Sundays and holidays at their discretion.,That's why there ought to be one day a week when supermarkets and shopping centres stay closed.,claim,claim,0.6603
allow_shops_to_open_on_holidays_and_sundays,a1,a2,"Well, I as an employee find it very practical to be able to shop at least on weekends.","For in this way, Sunday shopping days would be better spread out through the year.",claim,premise,0.6577
allow_shops_to_open_on_holidays_and_sundays,a1,a6,Supermarkets and shopping centres should be allowed to open on any Sundays and holidays.,That's why there ought to be one day a week when supermarkets and shopping centres stay closed.,claim,claim,0.6574
allow_shops_to_open_on_holidays_and_sundays,a2,a6,"For in this way, Sunday shopping days would be better spread out through the year.","Furthermore, there's no need to keep shops open on Sundays.",premise,premise,0.6572
allow_shops_to_open_on_holidays_and_sundays,a1,a2,"Well, I as an employee find it very practical to be able to shop at least on weekends.","For you can go shopping 6 days a week,",claim,premise,0.6563
allow_shops_to_open_on_holidays_and_sundays,a4,a6,"People, however, who work during the week and on Saturdays then have a problem: everyone else can shop weekdays, but they can't.","Furthermore, there's no need to keep shops open on Sundays.",objection,premise,0.6544
allow_shops_to_open_on_holidays_and_sundays,a1,a5,Due to the increase in opening hours on Sundays and holidays there is a rise in employment.,Opening on Sundays and holidays would therefore help both customers and shops.,objection,claim,0.6537
allow_shops_to_open_on_holidays_and_sundays,a6,a6,For these reasons supermarkets and shopping centres should not be allowed to be open for business on arbitrary Sundays and holidays.,That's why there ought to be one day a week when supermarkets and shopping centres stay closed.,claim,claim,0.6533
allow_shops_to_open_on_holidays_and_sundays,a1,a1,"Owner-run shops may potentially be overwhelmed by additional work times on Sundays and holidays,",Supermarkets and shopping centres should be allowed to open any Sundays and holidays at their discretion.,objection,claim,0.6512
allow_shops_to_open_on_holidays_and_sundays,a2,a6,"For in this way, Sunday shopping days would be better spread out through the year.",That's why there ought to be one day a week when supermarkets and shopping centres stay closed.,premise,claim,0.6488
allow_shops_to_open_on_holidays_and_sundays,a1,a5,"Well, I as an employee find it very practical to be able to shop at least on weekends.",Opening on Sundays and holidays would therefore help both customers and shops.,claim,claim,0.6472
allow_shops_to_open_on_holidays_and_sundays,a5,a5,Opening on Sundays and holidays would therefore help both customers and shops.,However then you'd have a worse overview of which shop is open on a given day.,claim,objection,0.6435
allow_shops_to_open_on_holidays_and_sundays,a3,a4,Hence it is good when shops are not open on Sundays and public holidays.,"People, however, who work during the week and on Saturdays then have a problem: everyone else can shop weekdays, but they can't.",claim,objection,0.6417
allow_shops_to_open_on_holidays_and_sundays,a6,a1,For these reasons supermarkets and shopping centres should not be allowed to be open for business on arbitrary Sundays and holidays.,"Owner-run shops may potentially be overwhelmed by additional work times on Sundays and holidays,",claim,objection,0.6414
allow_shops_to_open_on_holidays_and_sundays,a5,a1,Opening on Sundays and holidays would therefore help both customers and shops.,Supermarket employees and people who work in shopping centres also have the right to a Sunday off work.,claim,premise,0.6385
allow_shops_to_open_on_holidays_and_sundays,a1,a3,"Well, I as an employee find it very practical to be able to shop at least on weekends.",but they can have days off during the week and run errands at their leisure while I'm stuck in the office.,claim,objection,0.6356
allow_shops_to_open_on_holidays_and_sundays,a1,a1,"Owner-run shops may potentially be overwhelmed by additional work times on Sundays and holidays,",Supermarkets and shopping centres should be allowed to open on any Sundays and holidays.,objection,claim,0.6337
allow_shops_to_open_on_holidays_and_sundays,a5,a3,However then you'd have a worse overview of which shop is open on a given day.,as shops are open till 10pm on some days.,objection,premise,0.6299
allow_shops_to_open_on_holidays_and_sundays,a2,a4,"For in this way, Sunday shopping days would be better spread out through the year.","People, however, who work during the week and on Saturdays then have a problem: everyone else can shop weekdays, but they can't.",premise,objection,0.6284
allow_shops_to_open_on_holidays_and_sundays,a3,a4,but they can have days off during the week and run errands at their leisure while I'm stuck in the office.,"People, however, who work during the week and on Saturdays then have a problem: everyone else can shop weekdays, but they can't.",objection,objection,0.6278
allow_shops_to_open_on_holidays_and_sundays,a5,a3,and how am I supposed to do that when the shops aren't open when I'm off work?,as shops are open till 10pm on some days.,premise,premise,0.6262
allow_shops_to_open_on_holidays_and_sundays,a5,a5,Opening on Sundays and holidays would therefore help both customers and shops.,"Many European countries, for instance the Netherlands, Sweden and Great Britain, have already understood this and successfully adjusted the opening hours for retailers.",claim,claim,0.6262
allow_shops_to_open_on_holidays_and_sundays,a1,a2,Supermarkets and shopping centres should be allowed to open any Sundays and holidays at their discretion.,"For in this way, Sunday shopping days would be better spread out through the year.",claim,premise,0.6257
allow_shops_to_open_on_holidays_and_sundays,a5,a6,However then you'd have a worse overview of which shop is open on a given day.,That's why there ought to be one day a week when supermarkets and shopping centres stay closed.,objection,claim,0.6247
allow_shops_to_open_on_holidays_and_sundays,a1,a3,"Owner-run shops may potentially be overwhelmed by additional work times on Sundays and holidays,",as shops are open till 10pm on some days.,objection,premise,0.6236
allow_shops_to_open_on_holidays_and_sundays,a2,a5,"Sure, other people have to work in the shops on the weekend,",Opening on Sundays and holidays would therefore help both customers and shops.,objection,claim,0.6232
allow_shops_to_open_on_holidays_and_sundays,a2,a2,"For in this way, Sunday shopping days would be better spread out through the year.","For you can go shopping 6 days a week,",premise,premise,0.6229
allow_shops_to_open_on_holidays_and_sundays,a6,a4,For these reasons supermarkets and shopping centres should not be allowed to be open for business on arbitrary Sundays and holidays.,"People, however, who work during the week and on Saturdays then have a problem: everyone else can shop weekdays, but they can't.",claim,objection,0.6225
allow_shops_to_open_on_holidays_and_sundays,a1,a6,"Well, I as an employee find it very practical to be able to shop at least on weekends.","Furthermore, there's no need to keep shops open on Sundays.",claim,premise,0.621
allow_shops_to_open_on_holidays_and_sundays,a1,a2,Supermarkets and shopping centres should be allowed to open on any Sundays and holidays.,"For in this way, Sunday shopping days would be better spread out through the year.",claim,premise,0.619
allow_shops_to_open_on_holidays_and_sundays,a5,a3,However then you'd have a worse overview of which shop is open on a given day.,Hence it is good when shops are not open on Sundays and public holidays.,objection,claim,0.6152
allow_shops_to_open_on_holidays_and_sundays,a1,a6,"Owner-run shops may potentially be overwhelmed by additional work times on Sundays and holidays,",That's why there ought to be one day a week when supermarkets and shopping centres stay closed.,objection,claim,0.6143
allow_shops_to_open_on_holidays_and_sundays,a1,a3,Supermarket employees and people who work in shopping centres also have the right to a Sunday off work.,Hence it is good when shops are not open on Sundays and public holidays.,premise,claim,0.6112
allow_shops_to_open_on_holidays_and_sundays,a5,a3,"Many European countries, for instance the Netherlands, Sweden and Great Britain, have already understood this and successfully adjusted the opening hours for retailers.",as shops are open till 10pm on some days.,claim,premise,0.6099
allow_shops_to_open_on_holidays_and_sundays,a2,a3,"Sure, other people have to work in the shops on the weekend,",Hence it is good when shops are not open on Sundays and public holidays.,objection,claim,0.6094
allow_shops_to_open_on_holidays_and_sundays,a1,a6,"Well, I as an employee find it very practical to be able to shop at least on weekends.",That's why there ought to be one day a week when supermarkets and shopping centres stay closed.,claim,claim,0.6075
allow_shops_to_open_on_holidays_and_sundays,a1,a3,"Well, I as an employee find it very practical to be able to shop at least on weekends.",as shops are open till 10pm on some days.,claim,premise,0.6054
allow_shops_to_open_on_holidays_and_sundays,a2,a4,"For in this way, Sunday shopping days would be better spread out through the year.","Thus Sundays should remain a day for getting together with family,",premise,premise,0.6054
allow_shops_to_open_on_holidays_and_sundays,a4,a5,as customers are on average more laid-back on Sunday.,Opening on Sundays and holidays would therefore help both customers and shops.,premise,claim,0.6023
allow_shops_to_open_on_holidays_and_sundays,a4,a5,as not everyone would be open on the same day.,However then you'd have a worse overview of which shop is open on a given day.,premise,objection,0.6021
buy_tax_evader_data_from_dubious_sources,a6,a5,Tax data that are not made available for free should therefore not be acquired by the state.,"It is indisputable, however, that by purchasing such data the state increases the pressure on tax evaders to turn themselves in.",claim,objection,0.6548
buy_tax_evader_data_from_dubious_sources,a1,a5,"By purchasing illegally acquired tax data of citizens, the state is not only turning itself into a felon, but it is paying criminals, too.","It is indisputable, however, that by purchasing such data the state increases the pressure on tax evaders to turn themselves in.",premise,objection,0.623
buy_tax_evader_data_from_dubious_sources,a6,a1,Tax data that are not made available for free should therefore not be acquired by the state.,"By purchasing illegally acquired tax data of citizens, the state is not only turning itself into a felon, but it is paying criminals, too.",claim,premise,0.6096
cap_rent_increases,a1,a4,Rent prices should be limited by a cap when there's a change of tenant.,"If there must be rent increases, there should also be a cap to avoid nasty surprises.",claim,claim,0.7697
cap_rent_increases,a1,a5,Rent prices should be limited by a cap when there's a change of tenant.,A cap on rent increases upon tenant change is therefore not to be supported.,claim,claim,0.7592
cap_rent_increases,a4,a8,"If there must be rent increases, there should also be a cap to avoid nasty surprises.",as they can plan for a maximum rent increase.,claim,premise,0.7183
cap_rent_increases,a6,a8,"as they can adjust their expenses through the increase,",as they can plan for a maximum rent increase.,premise,premise,0.7158
cap_rent_increases,a3,a4,But surely these costs could be covered by a minimal increase in rent over the course of the entire lease.,All the more so as for an adequate profit the rental rate as compared to the base rent need not be raised for every new lease.,objection,premise,0.7128
cap_rent_increases,a3,a8,But surely these costs could be covered by a minimal increase in rent over the course of the entire lease.,as they can plan for a maximum rent increase.,objection,premise,0.7118
cap_rent_increases,a1,a1,Rent prices should be limited by a cap when there's a change of tenant.,Rent prices are already regulated in favour of tenants due to existing laws and the rent index.,claim,premise,0.6962
cap_rent_increases,a3,a1,But surely these costs could be covered by a minimal increase in rent over the course of the entire lease.,Rent prices should be limited by a cap when there's a change of tenant.,objection,claim,0.6934
cap_rent_increases,a5,a5,A cap on rent increases upon tenant change is therefore not to be supported.,A constant increase in rent upon a change of tenants hence cannot be desired by society.,claim,claim,0.6919
cap_rent_increases,a3,a3,But surely these costs could be covered by a minimal increase in rent over the course of the entire lease.,"Even if one might think that additional rent control is needed besides the current tenant protection,",objection,objection,0.6897
cap_rent_increases,a1,a8,Rent prices should be limited by a cap when there's a change of tenant.,as they can plan for a maximum rent increase.,claim,premise,0.6834
cap_rent_increases,a2,a8,"Landlords may want to earn as much as possible,",as they can plan for a maximum rent increase.,objection,premise,0.6802
cap_rent_increases,a3,a8,"and many, consistent with market principles, are prepared to pay higher rents,",as they can plan for a maximum rent increase.,objection,premise,0.6749
cap_rent_increases,a2,a5,"Landlords may want to earn as much as possible,","This helps the landlords,",objection,premise,0.6748
cap_rent_increases,a4,a1,All the more so as for an adequate profit the rental rate as compared to the base rent need not be raised for every new lease.,"Rent increases upon re-letting aren't bad as such, if it's only a small amount,",premise,objection,0.6733
cap_rent_increases,a1,a8,A stop must be put to exorbitant rents by imposing a limit on rent increases when changing residences.,as they can plan for a maximum rent increase.,claim,premise,0.6634
cap_rent_increases,a2,a3,Clearly the landlord has to pay for some repairs before a new lease.,But surely these costs could be covered by a minimal increase in rent over the course of the entire lease.,objection,objection,0.6619
cap_rent_increases,a3,a1,But surely these costs could be covered by a minimal increase in rent over the course of the entire lease.,"Rent increases upon re-letting aren't bad as such, if it's only a small amount,",objection,objection,0.6602
cap_rent_increases,a4,a8,All the more so as for an adequate profit the rental rate as compared to the base rent need not be raised for every new lease.,as they can plan for a maximum rent increase.,premise,premise,0.6559
cap_rent_increases,a1,a8,"Rent increases upon re-letting aren't bad as such, if it's only a small amount,",as they can plan for a maximum rent increase.,objection,premise,0.653
cap_rent_increases,a1,a1,Rent prices should be limited by a cap when there's a change of tenant.,A stop must be put to exorbitant rents by imposing a limit on rent increases when changing residences.,claim,claim,0.6477
cap_rent_increases,a3,a4,But surely these costs could be covered by a minimal increase in rent over the course of the entire lease.,"If there must be rent increases, there should also be a cap to avoid nasty surprises.",objection,claim,0.6475
cap_rent_increases,a1,a1,Rent prices should be limited by a cap when there's a change of tenant.,"Rent increases upon re-letting aren't bad as such, if it's only a small amount,",claim,objection,0.6426
cap_rent_increases,a5,a4,A cap on rent increases upon tenant change is therefore not to be supported.,"If there must be rent increases, there should also be a cap to avoid nasty surprises.",claim,claim,0.6399
cap_rent_increases,a1,a5,It is unfair and unjustifiable that new tenants have to pay a much higher rent than previous residents.,A constant increase in rent upon a change of tenants hence cannot be desired by society.,claim,claim,0.6358
cap_rent_increases,a4,a1,All the more so as for an adequate profit the rental rate as compared to the base rent need not be raised for every new lease.,Rent prices should be limited by a cap when there's a change of tenant.,premise,claim,0.6352
cap_rent_increases,a3,a2,"Besides, a higher degree of luxury (expensive flats) is not necessary for the majority of the people, but rather a flat at all.","In view of the high prices for buying flats with existing rent contracts, these are an unattractive investment.",premise,premise,0.6286
cap_rent_increases,a1,a3,Rent prices should be limited by a cap when there's a change of tenant.,"Even if one might think that additional rent control is needed besides the current tenant protection,",claim,objection,0.6279
cap_rent_increases,a1,a4,"Rent increases upon re-letting aren't bad as such, if it's only a small amount,","If there must be rent increases, there should also be a cap to avoid nasty surprises.",objection,claim,0.6272
cap_rent_increases,a4,a2,All the more so as for an adequate profit the rental rate as compared to the base rent need not be raised for every new lease.,"Landlords may want to earn as much as possible,",premise,objection,0.6247
cap_rent_increases,a4,a3,All the more so as for an adequate profit the rental rate as compared to the base rent need not be raised for every new lease.,"and many, consistent with market principles, are prepared to pay higher rents,",premise,objection,0.624
cap_rent_increases,a1,a5,Rent prices should be limited by a cap when there's a change of tenant.,A constant increase in rent upon a change of tenants hence cannot be desired by society.,claim,claim,0.6222
cap_rent_increases,a1,a5,A stop must be put to exorbitant rents by imposing a limit on rent increases when changing residences.,A constant increase in rent upon a change of tenants hence cannot be desired by society.,claim,claim,0.6204
cap_rent_increases,a3,a1,But surely these costs could be covered by a minimal increase in rent over the course of the entire lease.,Rent prices are already regulated in favour of tenants due to existing laws and the rent index.,objection,premise,0.615
cap_rent_increases,a3,a2,But surely these costs could be covered by a minimal increase in rent over the course of the entire lease.,"Landlords may want to earn as much as possible,",objection,objection,0.6146
cap_rent_increases,a2,a5,Clearly the landlord has to pay for some repairs before a new lease.,"This helps the landlords,",objection,premise,0.6105
cap_rent_increases,a4,a3,All the more so as for an adequate profit the rental rate as compared to the base rent need not be raised for every new lease.,"Even if one might think that additional rent control is needed besides the current tenant protection,",premise,objection,0.6074
cap_rent_increases,a4,a4,All the more so as for an adequate profit the rental rate as compared to the base rent need not be raised for every new lease.,"If there must be rent increases, there should also be a cap to avoid nasty surprises.",premise,claim,0.6068
cap_rent_increases,a1,a5,A stop must be put to exorbitant rents by imposing a limit on rent increases when changing residences.,A cap on rent increases upon tenant change is therefore not to be supported.,claim,claim,0.6053
cap_rent_increases,a1,a4,It is unfair and unjustifiable that new tenants have to pay a much higher rent than previous residents.,All the more so as for an adequate profit the rental rate as compared to the base rent need not be raised for every new lease.,claim,premise,0.6045
cap_rent_increases,a4,a1,All the more so as for an adequate profit the rental rate as compared to the base rent need not be raised for every new lease.,Rent prices are already regulated in favour of tenants due to existing laws and the rent index.,premise,premise,0.6022
cap_rent_increases,a1,a3,Rent prices are already regulated in favour of tenants due to existing laws and the rent index.,"Even if one might think that additional rent control is needed besides the current tenant protection,",premise,objection,0.6016
cap_rent_increases,a1,a1,It is unfair and unjustifiable that new tenants have to pay a much higher rent than previous residents.,"Rent increases upon re-letting aren't bad as such, if it's only a small amount,",claim,objection,0.6013
cap_rent_increases,a1,a2,"Rent increases upon re-letting aren't bad as such, if it's only a small amount,","they’re very bad however, if the rent suddenly climbs by €100 or €200.",objection,premise,0.6007
cap_rent_increases,a3,a9,"Even if one might think that additional rent control is needed besides the current tenant protection,","That the landlords are then slightly restricted in the administration of their property is not a problem,",objection,premise,0.6
charge_tuition_fees,a1,a5,The universities in Germany should not under any circumstances charge tuition fees.,Therefore universities should not charge tuition fees in Germany.,claim,claim,0.949
charge_tuition_fees,a1,a5,Tuition fees should not be charged in Germany.,Therefore universities should not charge tuition fees in Germany.,claim,claim,0.946
charge_tuition_fees,a1,a1,Tuition fees should not be charged in Germany.,The universities in Germany should not under any circumstances charge tuition fees.,claim,claim,0.9292
charge_tuition_fees,a5,a1,Therefore universities should not charge tuition fees in Germany.,German universities should on no account charge tuition fees.,claim,claim,0.8875
charge_tuition_fees,a1,a1,The universities in Germany should not under any circumstances charge tuition fees.,German universities should on no account charge tuition fees.,claim,claim,0.8821
charge_tuition_fees,a1,a1,Tuition fees should not be charged in Germany.,German universities should on no account charge tuition fees.,claim,claim,0.8742
charge_tuition_fees,a1,a1,The universities in Germany should not under any circumstances charge tuition fees.,Tuition fees should not generally be charged by universities.,claim,claim,0.8333
charge_tuition_fees,a5,a1,Therefore universities should not charge tuition fees in Germany.,Actually it would be justified if all German universities charged tuition fees.,claim,claim,0.8307
charge_tuition_fees,a1,a5,Tuition fees should not generally be charged by universities.,Therefore universities should not charge tuition fees in Germany.,claim,claim,0.8138
